 Bazy danych                                                                                                        |      1 | testPka
 Algorytmy i struktury danych (M)                                                                                   |      2 | 210728
 Analiza numeryczna (L)                                                                                             |      3 | 210728
 Architektury systemów komputerowych                                                                                |      3 | 210728
 Bazy danych                                                                                                        |      3 | 210728
 CCNA exploration 1: Network Fundamentals                                                                           |      3 | 210728
 Kryptografia                                                                                                       |      3 | 210728
 Kurs języka Java                                                                                                   |      3 | 210728
 Kurs programowania pod Windows w technologii .NET                                                                  |      3 | 210728
 Kurs WWW                                                                                                           |      3 | 210728
 Kurs: Ruby on Rails                                                                                                |      3 | 210728
 Matematyka dyskretna (L)                                                                                           |      3 | 210728
 Metody biometryczne                                                                                                |      3 | 210728
 Programowanie                                                                                                      |      3 | 210728
 Programowanie funkcyjne                                                                                            |      3 | 210728
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 210728
 Rozszerzony kurs języka Python                                                                                     |      3 | 210728
 Systemy operacyjne                                                                                                 |      3 | 210728
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 200047
 Algorytmiczna Teoria Gier                                                                                          |      2 | 233174
 Compiler Construction                                                                                              |      1 | 220993
 Algorytmiczna Teoria Gier                                                                                          |      3 | 221121
 Algorytmiczna Teoria Gier                                                                                          |      3 | 241771
 Algorytmiczna Teoria Gier                                                                                          |      3 | 221099
 Algorytmiczna Teoria Gier                                                                                          |      3 | 200043
 Algorytmiczna Teoria Gier                                                                                          |      3 | 209176
 Compiler Construction                                                                                              |      3 | 209166
 Compiler Construction                                                                                              |      3 | 221025
 Izomorfizm Curry'ego-Howarda                                                                                       |      2 | 221025
 Praktyczne aspekty sieci komputerowych                                                                             |      2 | 221025
 Algorytmiczna Teoria Gier                                                                                          |      2 | 233122
 Compiler Construction                                                                                              |      2 | 233122
 Compiler Construction                                                                                              |      1 | 241653
 Izomorfizm Curry'ego-Howarda                                                                                       |      1 | 241653
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 233120
 Compiler Construction                                                                                              |      3 | 221100
 Algorytmiczna Teoria Gier                                                                                          |      2 | 186816
 Compiler Construction                                                                                              |      2 | 186816
 Izomorfizm Curry'ego-Howarda                                                                                       |      2 | 186816
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 200130
 Compiler Construction                                                                                              |      3 | 233210
 Algorytmiczna Teoria Gier                                                                                          |      3 | 209139
 Algorytmiczna Teoria Gier                                                                                          |      3 | 241700
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 221060
 Praktyczne aspekty sieci komputerowych                                                                             |      2 | 233173
 Compiler Construction                                                                                              |      3 | 209103
 Algorytmiczna Teoria Gier                                                                                          |      2 | 221036
 Compiler Construction                                                                                              |      3 | 233140
 Algorytmiczna Teoria Gier                                                                                          |      3 | 200029
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 233196
 Algorytmiczna Teoria Gier                                                                                          |      3 | 233182
 Praktyczne aspekty sieci komputerowych                                                                             |      1 | 226175
 Compiler Construction                                                                                              |      3 | 209163
 Algorytmiczna Teoria Gier                                                                                          |      3 | 233193
 Praktyczne aspekty sieci komputerowych                                                                             |      1 | 233193
 Algorytmiczna Teoria Gier                                                                                          |      3 | 241735
 Algorytmiczna Teoria Gier                                                                                          |      3 | 221026
 Algorytmiczna Teoria Gier                                                                                          |      3 | 221075
 Algorytmiczna Teoria Gier                                                                                          |      3 | 221030
 Compiler Construction                                                                                              |      3 | 221031
 Compiler Construction                                                                                              |      2 | 209078
 Izomorfizm Curry'ego-Howarda                                                                                       |      3 | 209078
 Izomorfizm Curry'ego-Howarda                                                                                       |      1 | 209153
 Compiler Construction                                                                                              |      3 | 209083
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 221136
 Algorytmiczna Teoria Gier                                                                                          |      3 | 221185
 Compiler Construction                                                                                              |      3 | 221185
 Praktyczne aspekty sieci komputerowych                                                                             |      2 | 221185
 Izomorfizm Curry'ego-Howarda                                                                                       |      3 | 221055
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 233164
 Compiler Construction                                                                                              |      3 | 241768
 Algorytmiczna Teoria Gier                                                                                          |      3 | 221001
 Algorytmiczna Teoria Gier                                                                                          |      1 | 169842
 Compiler Construction                                                                                              |      1 | 169842
 Praktyczne aspekty sieci komputerowych                                                                             |      1 | 169842
 Algorytmiczna Teoria Gier                                                                                          |      1 | 209145
 Algorytmiczna Teoria Gier                                                                                          |      3 | 241699
 Compiler Construction                                                                                              |      3 | 221291
 Izomorfizm Curry'ego-Howarda                                                                                       |      3 | 221291
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 186764
 Algorytmiczna Teoria Gier                                                                                          |      1 | 221095
 Algorytmiczna Teoria Gier                                                                                          |      3 | 209179
 Compiler Construction                                                                                              |      3 | 233150
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 233150
 Izomorfizm Curry'ego-Howarda                                                                                       |      3 | 241643
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 233184
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 233222
 Algorytmiczna Teoria Gier                                                                                          |      3 | 229277
 Compiler Construction                                                                                              |      3 | 229277
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 229277
 Algorytmiczna Teoria Gier                                                                                          |      3 | 208934
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 208934
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 221144
 Compiler Construction                                                                                              |      2 | 241632
 Compiler Construction                                                                                              |      3 | 200096
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 220996
 Izomorfizm Curry'ego-Howarda                                                                                       |      2 | 241717
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 241717
 Compiler Construction                                                                                              |      3 | 221050
 Algorytmiczna Teoria Gier                                                                                          |      2 | 233238
 Compiler Construction                                                                                              |      3 | 209068
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 241746
